timestamp,j0_pos,j0_vel,j1_pos,j1_vel,j2_pos,j2_vel,j3_pos,j3_vel,j4_pos,j4_vel,j5_pos,j5_vel,j6_pos,j6_vel,j7_pos,j7_vel,j8_pos,j8_vel,j9_pos,j9_vel
104.2302,12.500000,45.000000,0.092126,-0.010990,1.920539,-0.010990,-2.398146,0.010990,-0.517471,-0.010990,-0.006294,0.010990,0.080300,0.032967,-1.790456,-0.010990,2.263485,0.032967,0.601015,0.032967
104.2390,12.500000,45.000000,0.092126,0.032967,1.920920,-0.032967,-2.398527,-0.010990,-0.517471,0.010990,-0.006294,0.032967,0.080300,0.032967,-1.790456,-0.010990,2.263485,0.010990,0.601015,0.032967
104.2490,12.500000,45.000000,0.092126,0.032967,1.920920,0.010990,-2.398527,0.010990,-0.517471,0.010990,-0.006676,-0.010990,0.080300,0.010990,-1.790456,-0.010990,2.263485,0.010990,0.601015,0.010990
104.2590,12.500000,45.000000,0.091744,-0.010990,1.920920,-0.010990,-2.398527,0.010990,-0.517471,0.010990,-0.006294,-0.010990,0.079919,0.032967,-1.790837,-0.032967,2.263485,0.010990,0.601015,0.010990
104.2689,12.500000,45.000000,0.092126,0.032967,1.920920,0.010990,-2.398527,0.032967,-0.517471,-0.010990,-0.006676,0.010990,0.080300,0.010990,-1.790456,0.010990,2.263485,0.010990,0.601015,0.010990
104.2788,12.500000,45.000000,0.092126,0.010990,1.920920,0.010990,-2.398146,0.010990,-0.517090,0.032967,-0.006676,-0.010990,0.080300,0.032967,-1.790456,-0.010990,2.263485,-0.010990,0.601015,-0.010990
104.2887,12.500000,45.000000,0.092126,0.010990,1.920539,-0.010990,-2.398146,-0.010990,-0.517471,0.010990,-0.006294,0.010990,0.080300,0.010990,-1.790456,-0.010990,2.263485,0.010990,0.601015,-0.010990
104.2988,12.500000,45.000000,0.091744,-0.010990,1.920539,-0.010990,-2.398146,0.010990,-0.517471,0.010990,-0.006294,0.010990,0.080300,0.032967,-1.790456,0.010990,2.263485,0.010990,0.601015,0.010990
104.3087,12.500000,45.000000,0.092126,0.010990,1.920539,-0.032967,-2.398527,0.010990,-0.517471,0.032967,-0.006294,0.010990,0.080300,0.032967,-1.790456,-0.010990,2.263485,0.010990,0.601015,0.010990
104.3188,12.500000,45.000000,0.092126,0.010990,1.920539,-0.010990,-2.398527,-0.010990,-0.517471,0.010990,-0.006294,0.032967,0.079919,0.010990,-1.790837,-0.032967,2.263485,0.010990,0.601015,-0.032967
104.3287,12.500000,45.000000,0.092126,0.010990,1.920539,-0.010990,-2.398146,0.032967,-0.517471,0.010990,-0.006676,0.010990,0.080300,-0.010990,-1.790456,-0.010990,2.263485,0.010990,0.601015,-0.010990
104.3388,12.500000,45.000000,0.092126,0.010990,1.920539,-0.010990,-2.398527,0.010990,-0.517471,0.032967,-0.006294,0.010990,0.080300,0.010990,-1.790456,-0.010990,2.263485,-0.010990,0.601015,0.010990
104.3487,12.500000,45.000000,0.092126,0.010990,1.920539,-0.010990,-2.398527,-0.010990,-0.517471,-0.010990,-0.006676,0.010990,0.080300,0.010990,-1.790456,-0.032967,2.263485,0.010990,0.601015,0.032967
104.3588,12.500000,45.000000,0.092126,0.010990,1.920920,-0.032967,-2.398146,0.010990,-0.517471,0.010990,-0.006676,-0.010990,0.080300,0.010990,-1.790456,-0.010990,2.263485,0.010990,0.601015,0.010990
104.3688,12.500000,45.000000,0.092126,0.032967,1.920920,-0.010990,-2.398527,0.010990,-0.517471,0.010990,-0.006676,-0.032967,0.079919,-0.010990,-1.790456,-0.010990,2.263485,0.010990,0.601015,-0.010990
104.3788,12.500000,45.000000,0.092126,0.032967,1.920920,-0.032967,-2.398146,0.010990,-0.517471,0.010990,-0.006294,0.010990,0.080300,0.010990,-1.790456,-0.010990,2.263485,0.010990,0.601015,0.010990
104.3887,12.500000,45.000000,0.092126,-0.010990,1.920539,-0.010990,-2.398146,0.010990,-0.517471,0.010990,-0.006294,0.010990,0.080300,0.010990,-1.790456,-0.010990,2.263485,0.010990,0.601015,0.032967
104.3988,12.500000,45.000000,0.092126,-0.010990,1.920920,-0.010990,-2.398146,0.010990,-0.517471,0.032967,-0.006294,0.010990,0.079919,0.010990,-1.790456,-0.010990,2.263485,0.010990,0.601015,0.010990
104.4088,12.500000,45.000000,0.092126,0.010990,1.920920,-0.010990,-2.398527,0.010990,-0.517471,0.010990,-0.006294,0.010990,0.080300,0.010990,-1.790456,-0.010990,2.263485,-0.010990,0.601015,0.010990
104.4189,12.500000,45.000000,0.092126,0.032967,1.920920,-0.010990,-2.398527,-0.010990,-0.517090,0.032967,-0.006676,-0.010990,0.080300,0.010990,-1.790456,-0.032967,2.263485,0.010990,0.601015,0.010990
104.4288,12.500000,45.000000,0.091744,0.010990,1.920920,0.010990,-2.398527,0.010990,-0.517471,0.010990,-0.006294,0.010990,0.080300,0.010990,-1.790456,-0.032967,2.263485,-0.010990,0.601015,0.032967
104.4387,12.500000,45.000000,0.092126,0.010990,1.920920,-0.010990,-2.398527,0.010990,-0.517471,-0.010990,-0.006294,0.032967,0.080300,0.010990,-1.790456,-0.010990,2.263485,0.010990,0.601015,0.010990
104.4487,12.500000,45.000000,0.092126,-0.010990,1.920539,-0.010990,-2.398527,0.010990,-0.517090,0.032967,-0.006294,0.032967,0.080300,0.032967,-1.790456,-0.010990,2.263485,0.010990,0.601015,-0.010990
104.4588,12.500000,45.000000,0.092126,0.032967,1.920539,-0.010990,-2.398527,-0.010990,-0.517471,-0.032967,-0.006676,-0.010990,0.079919,0.010990,-1.790456,-0.010990,2.263485,-0.010990,0.601015,0.010990
104.4689,12.500000,45.000000,0.091744,-0.010990,1.920539,-0.010990,-2.398527,0.032967,-0.517471,0.010990,-0.006294,0.010990,0.080300,0.010990,-1.790837,-0.032967,2.263485,-0.010990,0.601015,0.010990
104.4788,12.500000,45.000000,0.092126,0.010990,1.920539,-0.032967,-2.398146,0.032967,-0.517471,0.010990,-0.006294,0.032967,0.079919,0.010990,-1.790456,-0.010990,2.263485,0.010990,0.601015,-0.010990
104.4890,12.500000,45.000000,0.092126,0.032967,1.920539,-0.010990,-2.398146,-0.010990,-0.517471,0.010990,-0.006676,0.010990,0.080300,0.010990,-1.790456,0.010990,2.263485,0.010990,0.601015,0.010990
104.4988,12.500000,45.000000,0.092126,-0.010990,1.920539,-0.032967,-2.398146,0.010990,-0.517471,0.032967,-0.006294,0.010990,0.079919,0.010990,-1.790456,-0.032967,2.263485,0.010990,0.601015,0.010990
104.5087,12.500000,45.000000,0.092126,0.010990,1.920539,-0.010990,-2.398527,-0.010990,-0.517471,-0.010990,-0.006676,-0.010990,0.079919,-0.010990,-1.790456,-0.010990,2.263485,0.010990,0.601015,0.010990
104.5189,12.500000,45.000000,0.092126,0.010990,1.920539,-0.032967,-2.398527,0.010990,-0.517471,0.010990,-0.006294,0.010990,0.079919,0.010990,-1.790456,0.010990,2.263485,-0.010990,0.601015,0.010990
104.5287,12.500000,45.000000,0.091744,0.032967,1.920539,0.010990,-2.398527,0.032967,-0.517471,0.032967,-0.006294,0.010990,0.080300,-0.010990,-1.790456,-0.010990,2.263485,-0.010990,0.601015,0.032967
104.5387,12.500000,45.000000,0.092126,0.010990,1.920539,-0.032967,-2.398146,0.010990,-0.517471,-0.010990,-0.006294,0.032967,0.080300,0.010990,-1.790456,-0.010990,2.263485,-0.010990,0.601015,0.032967
104.5487,12.500000,45.000000,0.092126,0.010990,1.920539,-0.010990,-2.398527,0.010990,-0.517090,0.032967,-0.006676,-0.010990,0.080300,0.032967,-1.790456,-0.010990,2.263485,0.010990,0.601015,-0.032967
104.5588,12.500000,45.000000,0.092126,0.010990,1.920920,-0.010990,-2.398146,0.010990,-0.517471,0.010990,-0.006294,-0.010990,0.080300,0.010990,-1.790456,-0.010990,2.263485,-0.010990,0.601015,0.010990
